iter	Passed	Remaining
757	26204	8366
758	26237	8331
759	26290	8302
760	26369	8281
761	26437	8257
762	26494	8229
763	26539	8198
764	26577	8164
765	26621	8132
766	26658	8098
767	26689	8062
768	26721	8026
769	26752	7991
770	26785	7955
771	26818	7920
772	26851	7885
773	26888	7851
774	26922	7816
775	26964	7783
776	26997	7748
777	27029	7712
778	27061	7677
779	27108	7646
780	27142	7610
781	27173	7575
782	27202	7538
783	27233	7502
784	27262	7466
785	27292	7430
786	27322	7394
787	27358	7360
788	27388	7324
789	27424	7290
790	27463	7256
791	27498	7221
792	27533	7187
793	27567	7152
794	27608	7119
795	27642	7084
796	27679	7050
797	27715	7015
798	27752	6981
799	27788	6947
800	27826	6913
801	27860	6878
802	27894	6843
803	27923	6807
804	27956	6772
805	27986	6736
806	28017	6700
807	28055	6666
808	28088	6631
809	28118	6595
810	28149	6560
811	28197	6528
812	28239	6495
813	28274	6460
814	28304	6424
815	28335	6389
816	28364	6353
817	28394	6317
818	28424	6281
819	28454	6246
820	28490	6211
821	28524	6176
822	28557	6141
823	28596	6107
824	28635	6074
825	28673	6040
826	28713	6006
827	28750	5972
828	28785	5937
829	28823	5903
830	28860	5869
831	28899	5835
832	28939	5801
833	28973	5767
834	29010	5732
835	29048	5698
836	29083	5663
837	29119	5629
838	29167	5597
839	29205	5562
840	29237	5527
841	29271	5492
842	29302	5457
843	29334	5421
844	29371	5387
845	29403	5352
846	29434	5317
847	29466	5281
848	29498	5246
849	29531	5211
850	29565	5176
851	29658	5152
852	29713	5120
853	29756	5087
854	29819	5057
855	29863	5023
856	29906	4990
857	29946	4956
858	30000	4924
859	30040	4890
860	30083	4856
861	30117	4821
862	30152	4786
863	30190	4752
864	30226	4717
865	30262	4682
866	30297	4647
867	30329	4612
868	30360	4576
869	30395	4541
870	30427	4506
871	30459	4471
872	30494	4436
873	30527	4400
874	30558	4365
875	30662	4340
876	30700	4305
877	30789	4278
878	30828	4243
879	30862	4208
880	30902	4174
881	30939	4139
882	30974	4104
883	31005	4068
884	31038	4033
885	31070	3997
886	31106	3962
887	31139	3927
888	31176	3892
889	31212	3857
890	31251	3823
891	31289	3788
892	31331	3754
893	31368	3719
894	31414	3685
895	31448	3650
896	31499	3617
897	31536	3582
898	31571	3546
899	31601	3511
900	31633	3475
901	31662	3440
902	31693	3404
903	31742	3370
904	31774	3335
905	31813	3300
906	31844	3265
907	31875	3229
908	31920	3195
909	31951	3160
910	31981	3124
911	32015	3089
912	32048	3053
913	32093	3019
914	32121	2984
915	32153	2948
916	32183	2913
917	32219	2877
918	32250	2842
919	32283	2807
920	32316	2772
921	32355	2737
922	32391	2702
923	32429	2667
924	32467	2632
925	32502	2597
926	32540	2562
927	32576	2527
928	32610	2492
929	32646	2457
930	32688	2422
931	32722	2387
932	32753	2352
933	32785	2316
934	32819	2281
935	32853	2246
936	32889	2211
937	32919	2175
938	32952	2140
939	32990	2105
940	33024	2070
941	33057	2035
942	33089	2000
943	33125	1965
944	33158	1929
945	33189	1894
946	33219	1859
947	33252	1823
948	33284	1788
949	33316	1753
950	33352	1718
951	33387	1683
952	33421	1648
953	33458	1613
954	33492	1578
955	33533	1543
956	33575	1508
957	33613	1473
958	33652	1438
959	33684	1403
960	33721	1368
961	33759	1333
962	33800	1298
963	33838	1263
964	33874	1228
965	33908	1193
966	33941	1158
967	33974	1123
968	34013	1088
969	34048	1053
970	34085	1017
971	34119	982
972	34149	947
973	34181	912
974	34216	877
975	34250	842
976	34283	807
977	34316	771
978	34348	736
979	34380	701
980	34411	666
981	34443	631
982	34479	596
983	34510	561
984	34543	526
985	34574	490
986	34605	455
987	34638	420
988	34668	385
989	34704	350
990	34741	315
991	34778	280
992	34817	245
993	34856	210
994	34895	175
995	34932	140
996	34969	105
997	35003	70
998	35040	35
999	35077	0
